codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
39747;39747;INCIDENTE;CAIRU;BA;SNCL;31/01/2010;19:47:00;4
39787;39787;INCIDENTE;GOIÂNIA;GO;SBGO;31/01/2010;21:00:00;0
39748;39748;INCIDENTE;CAMBÉ;PR;****;03/02/2010;14:30:00;0
39316;39316;ACIDENTE;RIO DO OESTE;SC;****;04/02/2010;17:55:00;2
39155;39155;INCIDENTE;BELO HORIZONTE;MG;****;05/02/2010;12:55:00;0
39176;39176;INCIDENTE;SÃO LUÍS;MA;****;05/02/2010;09:30:00;0
39235;39235;ACIDENTE;ITUMBIARA;GO;****;06/02/2010;17:20:00;3
39295;39295;ACIDENTE;RIO DE JANEIRO;RJ;****;06/02/2010;21:09:00;0
40207;40207;INCIDENTE;CRUZEIRO DO SUL;AC;SBCZ;06/02/2010;22:30:00;0
39115;39115;ACIDENTE;CORRENTINA;BA;SNTY;07/02/2010;17:40:00;2
39367;39367;INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;SBSR;07/02/2010;22:59:00;0
39405;39405;ACIDENTE;ITIQUIRA;MT;****;07/02/2010;11:30:00;1
40290;40290;INCIDENTE;VITÓRIA;ES;SBVT;07/02/2010;02:09:00;0
39178;39178;INCIDENTE;CAMPINAS;SP;****;08/02/2010;12:33:00;0
39972;39972;INCIDENTE;POÇOS DE CALDAS;MG;SBPC;08/02/2010;13:55:00;0
39969;39969;INCIDENTE;SALVADOR;BA;SBSV;09/02/2010;23:50:00;4
39275;39275;ACIDENTE;SÃO PAULO;SP;****;10/02/2010;09:03:00;3
39967;39967;INCIDENTE;TEIXEIRA DE FREITAS;BA;****;11/02/2010;15:01:00;0
39365;39365;INCIDENTE;GOIÂNIA;GO;****;12/02/2010;16:48:00;0
41377;41377;ACIDENTE;SERRA NEGRA;SP;****;14/02/2010;17:30:00;0
39930;39930;INCIDENTE GRAVE;CURITIBA;PR;SBCT;16/02/2010;16:25:00;2
39992;39992;ACIDENTE;SÃO PAULO;SP;SBMT;17/02/2010;20:07:00;11
39386;39386;INCIDENTE;SÃO PAULO;SP;****;18/02/2010;10:10:00;0
40325;40325;INCIDENTE GRAVE;EXU;PE;****;19/02/2010;10:20:00;0
39385;39385;INCIDENTE GRAVE;BRASÍLIA;DF;SBBR;21/02/2010;17:00:00;1
39988;39988;INCIDENTE;CURITIBA;PR;SBBI;22/02/2010;16:00:00;0
40318;40318;INCIDENTE;JUIZ DE FORA;MG;****;22/02/2010;13:47:00;0
39727;39727;INCIDENTE GRAVE;VÁRZEA GRANDE;MT;SBCY;23/02/2010;19:42:00;0
39317;39317;ACIDENTE;RIO VERDE;GO;SWLC;24/02/2010;13:00:00;0
39987;39987;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;24/02/2010;19:37:00;0
41181;41181;INCIDENTE;CASCAVEL;PR;SBCA;25/02/2010;11:17:00;0
39933;39933;ACIDENTE;BELO HORIZONTE;MG;****;26/02/2010;11:19:00;1
40296;40296;INCIDENTE;CURITIBA;PR;****;26/02/2010;22:32:00;0
40316;40316;INCIDENTE GRAVE;TIMÓTEO;MG;****;26/02/2010;14:40:00;3
40331;40331;INCIDENTE;CAMPINAS;SP;****;28/02/2010;09:00:00;0
40314;40314;INCIDENTE;SÃO PAULO;SP;****;04/03/2010;23:50:00;0
39916;39916;INCIDENTE GRAVE;MANAUS;AM;SBEG;07/03/2010;19:35:00;2
39910;39910;INCIDENTE;GUARULHOS;SP;SBGR;08/03/2010;00:49:00;0
39887;39887;ACIDENTE;BELO HORIZONTE;MG;SBPR;09/03/2010;17:45:00;1
39914;39914;INCIDENTE;LONDRINA;PR;SBLO;09/03/2010;21:00:00;0
40312;40312;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;****;09/03/2010;19:18:00;0
39913;39913;INCIDENTE GRAVE;RIO BRANCO;AC;SBRB;10/03/2010;06:17:00;3
40150;40150;INCIDENTE GRAVE;SANTA MARIA;RS;SBSM;10/03/2010;17:20:00;0
40273;40273;INCIDENTE;RIO BRANCO;AC;SBRB;10/03/2010;14:30:00;2
39993;39993;INCIDENTE GRAVE;LONDRINA;PR;SBLO;11/03/2010;12:30:00;2
41986;41986;INCIDENTE;GUARULHOS;SP;SBGR;11/03/2010;03:00:00;0
40260;40260;INCIDENTE;BELO HORIZONTE;MG;****;12/03/2010;18:10:00;0
41988;41988;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;SBCT;12/03/2010;03:00:00;0
40027;40027;INCIDENTE;BLUMENAU;SC;SSBL;15/03/2010;21:05:00;0
40320;40320;INCIDENTE;GUARULHOS;SP;SBGR;15/03/2010;09:57:00;0
40322;40322;INCIDENTE;BELÉM;PA;SBJC;15/03/2010;18:15:00;0
40307;40307;INCIDENTE;BELÉM;PA;SBJC;16/03/2010;20:00:00;0
40168;40168;INCIDENTE;MONTES CLAROS;MG;SBMK;17/03/2010;01:34:00;0
40329;40329;INCIDENTE;SÃO PAULO;SP;SBSP;18/03/2010;12:10:00;0
41998;41998;INCIDENTE;CONFINS;MG;SBCF;18/03/2010;13:37:00;0
41999;41999;INCIDENTE;GUARULHOS;SP;SBGR;18/03/2010;03:00:00;0
40088;40088;ACIDENTE;UIRAMUTÃ;RR;****;19/03/2010;13:10:00;3
40148;40148;ACIDENTE;CAMPO GRANDE;MS;****;19/03/2010;19:30:00;1
40170;40170;INCIDENTE;MANAUS;AM;SBEG;20/03/2010;11:00:00;0
40210;40210;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;20/03/2010;20:02:00;0
40212;40212;INCIDENTE;UBERLÂNDIA;MG;SBUL;20/03/2010;12:14:00;0
40332;40332;INCIDENTE;MACAÉ;RJ;****;20/03/2010;21:58:00;0
40149;40149;ACIDENTE;LUZIÂNIA;GO;SWUZ;21/03/2010;20:45:00;2
40209;40209;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;21/03/2010;13:46:00;0
41939;41939;INCIDENTE;CONFINS;MG;SBCF;22/03/2010;03:00:00;0
40330;40330;INCIDENTE;RIO DE JANEIRO;RJ;****;24/03/2010;11:35:00;0
42781;42781;INCIDENTE;GUARULHOS;SP;SBGR;25/03/2010;03:00:00;0
40087;40087;ACIDENTE;ANÁPOLIS;GO;SWNS;26/03/2010;10:45:00;4
40089;40089;ACIDENTE;VILA BELA DA SANTÍSSIMA TRINDADE;MT;****;28/03/2010;15:10:00;0
40827;40827;INCIDENTE;PENÁPOLIS;SP;****;30/03/2010;20:45:00;0
40287;40287;INCIDENTE;ITAJAÍ;SC;****;31/03/2010;13:00:00;0
40326;40326;INCIDENTE;RECIFE;PE;****;31/03/2010;15:20:00;0
40288;40288;INCIDENTE;FORTALEZA;CE;SBFZ;01/04/2010;13:16:00;0
40275;40275;INCIDENTE;BRASÍLIA;DF;SBBR;02/04/2010;18:15:00;0
40291;40291;INCIDENTE;CONFINS;MG;SBCF;03/04/2010;20:25:00;0
40251;40251;INCIDENTE;FLORIANÓPOLIS;SC;****;04/04/2010;17:00:00;0
40267;40267;INCIDENTE GRAVE;VERA CRUZ;BA;SNVR;04/04/2010;11:00:00;2
40190;40190;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;06/04/2010;02:35:00;3
40171;40171;ACIDENTE;PORTO NACIONAL;TO;SBPN;07/04/2010;18:45:00;2
40269;40269;INCIDENTE GRAVE;ANÁPOLIS;GO;SWNS;07/04/2010;19:30:00;1
40147;40147;ACIDENTE;UNIÃO DA VITÓRIA;PR;SSUV;08/04/2010;14:20:00;3
40250;40250;ACIDENTE;LUZIÂNIA;GO;****;08/04/2010;20:00:00;0
40292;40292;INCIDENTE;CAMPINAS;SP;SBKP;08/04/2010;20:30:00;0
40213;40213;INCIDENTE GRAVE;GOIÂNIA;GO;SWNV;09/04/2010;21:00:00;1
40295;40295;INCIDENTE;RIO BRANCO;AC;SBRB;11/04/2010;19:20:00;0
40214;40214;ACIDENTE;REDENÇÃO;PA;****;12/04/2010;19:30:00;1
40227;40227;INCIDENTE;AREALVA;SP;****;12/04/2010;14:03:00;0
40228;40228;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;SBSJ;12/04/2010;17:17:00;0
40258;40258;INCIDENTE;MONTE ALEGRE;PA;****;12/04/2010;18:10:00;0
40327;40327;INCIDENTE;PORTO ALEGRE;RS;****;12/04/2010;13:13:00;0
40826;40826;INCIDENTE;MARÍLIA;SP;SBML;12/04/2010;13:00:00;0
40248;40248;INCIDENTE;PORTO ALEGRE;RS;SBPA;13/04/2010;18:47:00;0
40262;40262;INCIDENTE;SÃO PAULO;SP;SBSP;14/04/2010;01:42:00;0
40261;40261;INCIDENTE;MACAÉ;RJ;SBME;15/04/2010;13:10:00;0
40270;40270;INCIDENTE GRAVE;PIRASSUNUNGA;SP;SDPY;15/04/2010;20:15:00;0
40323;40323;INCIDENTE;SÃO PAULO;SP;****;15/04/2010;20:20:00;0
40328;40328;ACIDENTE;CORRENTINA;BA;****;15/04/2010;17:25:00;0
40294;40294;INCIDENTE;RIO DE JANEIRO;RJ;****;16/04/2010;20:00:00;0
40352;40352;INCIDENTE;CUIABÁ;MT;****;16/04/2010;20:50:00;0
40412;40412;ACIDENTE;MACAPÁ;AP;****;16/04/2010;21:55:00;0
40247;40247;INCIDENTE;FLORIANÓPOLIS;SC;SBFL;17/04/2010;23:30:00;0
40350;40350;INCIDENTE GRAVE;UIRAMUTÃ;RR;****;17/04/2010;20:30:00;0
40293;40293;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;18/04/2010;16:23:00;0
40413;40413;INCIDENTE;MACAÉ;RJ;SBME;18/04/2010;18:25:00;0
40264;40264;ACIDENTE;CAMPO VERDE;MT;SWOZ;20/04/2010;16:30:00;2
40321;40321;INCIDENTE;LONDRINA;PR;****;20/04/2010;16:11:00;0
40271;40271;ACIDENTE;RECIFE;PE;SNEM;21/04/2010;11:27:00;2
40447;40447;ACIDENTE;MANGARATIBA;RJ;****;21/04/2010;18:55:00;0
40489;40489;INCIDENTE;CAMPINAS;SP;****;21/04/2010;17:01:00;0
40508;40508;INCIDENTE;BELO HORIZONTE;MG;****;21/04/2010;14:44:00;0
40576;40576;INCIDENTE;MACAÉ;RJ;SBME;21/04/2010;18:37:00;0
40577;40577;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;****;21/04/2010;12:52:00;0
40581;40581;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;21/04/2010;13:20:00;0
40554;40554;ACIDENTE;RESENDE;RJ;****;27/04/2010;18:47:00;8
40572;40572;ACIDENTE;PORTO ALEGRE;RS;SBPA;28/04/2010;14:10:00;0
40819;40819;INCIDENTE;NIQUELÂNDIA;GO;****;28/04/2010;18:30:00;0
41610;41610;INCIDENTE;NAVEGANTES;SC;****;29/04/2010;10:52:00;0
40583;40583;INCIDENTE;SALVADOR;BA;SBSV;30/04/2010;16:35:00;1
40623;40623;INCIDENTE;BELO HORIZONTE;MG;SBBH;30/04/2010;09:55:00;0
40652;40652;INCIDENTE GRAVE;CUIABÁ;MT;SJCY;30/04/2010;19:00:00;0
40573;40573;INCIDENTE GRAVE;ITAPETINGA;BA;****;01/05/2010;15:40:00;2
40575;40575;INCIDENTE;MANAUS;AM;SBEG;01/05/2010;16:15:00;0
40774;40774;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;01/05/2010;02:10:00;0
40579;40579;INCIDENTE;CURITIBA;PR;SBBI;04/05/2010;13:00:00;0
40842;40842;INCIDENTE;SÃO PAULO;SP;****;04/05/2010;18:00:00;0
41629;41629;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;SBSJ;04/05/2010;13:19:00;0
40621;40621;INCIDENTE GRAVE;POÇOS DE CALDAS;MG;SBPC;05/05/2010;21:05:00;0
40622;40622;INCIDENTE;BELÉM;PA;****;05/05/2010;17:10:00;0
40821;40821;INCIDENTE;MANICORÉ;AM;****;05/05/2010;09:32:00;0
40620;40620;INCIDENTE GRAVE;GUARULHOS;SP;SBGR;06/05/2010;15:50:00;0
40624;40624;INCIDENTE;SÃO LUÍS;MA;SBSL;06/05/2010;17:05:00;0
40825;40825;INCIDENTE;BELO HORIZONTE;MG;SBBH;06/05/2010;18:48:00;0
40791;40791;INCIDENTE;MANAUS;AM;****;07/05/2010;10:28:00;0
40793;40793;ACIDENTE;PORTO NACIONAL;TO;SBPN;07/05/2010;16:41:00;3
40837;40837;INCIDENTE;CUIABÁ;MT;****;07/05/2010;22:17:00;0
40732;40732;INCIDENTE GRAVE;CAMAÇARI;BA;****;08/05/2010;15:05:00;5
40835;40835;INCIDENTE;UBERABA;MG;****;08/05/2010;13:14:00;0
40843;40843;ACIDENTE;LUCAS DO RIO VERDE;MT;****;08/05/2010;18:30:00;0
40834;40834;INCIDENTE;ILHÉUS;BA;****;10/05/2010;23:55:00;0
40839;40839;ACIDENTE;ITÁPOLIS;SP;****;10/05/2010;20:30:00;0
41665;41665;INCIDENTE;MARABÁ;PA;SBMA;11/05/2010;18:32:00;0
41649;41649;INCIDENTE;SÃO PAULO;SP;SBSP;12/05/2010;19:52:00;0
40855;40855;ACIDENTE;MANAUS;AM;****;13/05/2010;18:58:00;4
41573;41573;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;13/05/2010;16:10:00;0
40853;40853;INCIDENTE;MARÍLIA;SP;SBML;14/05/2010;18:25:00;0
41574;41574;INCIDENTE;JUIZ DE FORA;MG;****;14/05/2010;23:57:00;0
40933;40933;ACIDENTE;CÁCERES;MT;SWKC;15/05/2010;20:40:00;0
41485;41485;INCIDENTE;MANICORÉ;AM;****;15/05/2010;12:00:00;0
41393;41393;INCIDENTE;LONDRINA;PR;SBLO;17/05/2010;11:15:00;0
41409;41409;INCIDENTE;BAGÉ;RS;****;17/05/2010;14:20:00;0
41054;41054;INCIDENTE;MONTE ALEGRE;PA;****;18/05/2010;14:55:00;0
41174;41174;INCIDENTE;MACEIÓ;AL;SBMO;18/05/2010;21:50:00;0
41053;41053;ACIDENTE;CASCAVEL;PR;SBCA;19/05/2010;08:10:00;2
41132;41132;INCIDENTE;SÃO PAULO;SP;****;20/05/2010;03:00:00;0
41155;41155;ACIDENTE;JUNDIAÍ;SP;SBJD;20/05/2010;19:35:00;5
41177;41177;ACIDENTE;GOIÂNIA;GO;SBGO;20/05/2010;20:05:00;0
41179;41179;INCIDENTE GRAVE;BRASÍLIA;DF;SBBR;20/05/2010;22:20:00;8
41178;41178;INCIDENTE;CAMPINAS;SP;SDAM;21/05/2010;15:40:00;0
41172;41172;INCIDENTE;PARAUAPEBAS;PA;SBCJ;22/05/2010;19:02:00;0
41235;41235;INCIDENTE;BRASÍLIA;DF;SBBR;23/05/2010;15:35:00;0
41224;41224;INCIDENTE;GOIÂNIA;GO;****;26/05/2010;15:50:00;0
41252;41252;INCIDENTE;SÃO LUÍS;MA;SBSL;26/05/2010;14:10:00;0
41374;41374;ACIDENTE;CORRENTINA;BA;****;26/05/2010;14:00:00;9
41274;41274;ACIDENTE;BOCAINA;SP;****;27/05/2010;12:00:00;0
41236;41236;ACIDENTE;FELIZ DESERTO;AL;SNUZ;29/05/2010;09:55:00;3
41272;41272;INCIDENTE;FORTALEZA;CE;SBFZ;29/05/2010;19:38:00;0
41375;41375;INCIDENTE;BRASÍLIA;DF;SBBR;29/05/2010;15:45:00;0
41376;41376;INCIDENTE;PORTO SEGURO;BA;SBPS;29/05/2010;13:50:00;0
41378;41378;INCIDENTE;COARI;AM;****;02/06/2010;19:00:00;0
41481;41481;INCIDENTE;CONFINS;MG;SBCF;02/06/2010;01:00:00;0
41484;41484;INCIDENTE;BRASÍLIA;DF;SBBR;02/06/2010;12:20:00;0
41482;41482;ACIDENTE;TRÊS FORQUILHAS;RS;****;03/06/2010;16:15:00;0
41661;41661;INCIDENTE;CAMPINAS;SP;****;03/06/2010;13:00:00;0
41392;41392;INCIDENTE;LONDRINA;PR;SBLO;04/06/2010;11:42:00;0
41394;41394;INCIDENTE;GUARULHOS;SP;SBGR;04/06/2010;01:05:00;0
41682;41682;INCIDENTE;GUARULHOS;SP;SBGR;05/06/2010;19:12:00;0
41487;41487;INCIDENTE;JOINVILLE;SC;SBJV;07/06/2010;12:50:00;0
41411;41411;INCIDENTE GRAVE;SÃO PAULO;SP;SBMT;08/06/2010;19:30:00;2
41480;41480;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;SBCT;08/06/2010;23:07:00;1
41579;41579;INCIDENTE;SANTA ROSA DO PURUS;AC;****;09/06/2010;13:55:00;0
45940;45940;ACIDENTE;ALTO ALEGRE;RR;****;09/06/2010;15:00:00;0
41591;41591;INCIDENTE;RIO DE JANEIRO;RJ;SBGL;10/06/2010;17:30:00;0
41592;41592;INCIDENTE;FORTALEZA;CE;****;10/06/2010;03:00:00;0
41676;41676;INCIDENTE;BRASÍLIA;DF;****;10/06/2010;17:27:00;0
42010;42010;INCIDENTE;MACAÉ;RJ;****;10/06/2010;11:52:00;0
41569;41569;ACIDENTE;SÃO FÉLIX DO XINGU;PA;SNFX;12/06/2010;23:30:00;0
41488;41488;ACIDENTE;AQUIRAZ;CE;****;13/06/2010;12:50:00;0
41553;41553;INCIDENTE;CONFINS;MG;SBCF;13/06/2010;10:03:00;0
41595;41595;INCIDENTE;PETROLINA;PE;SBPL;13/06/2010;15:00:00;0
41908;41908;INCIDENTE;CAMPINAS;SP;SBKP;13/06/2010;12:45:00;0
41552;41552;ACIDENTE;NOVA MAMORÉ;RO;****;14/06/2010;14:25:00;9
41551;41551;INCIDENTE;MANAUS;AM;SBEG;15/06/2010;15:20:00;0
41578;41578;INCIDENTE GRAVE;NOVA XAVANTINA;MT;SWXV;15/06/2010;20:45:00;1
41589;41589;INCIDENTE;SÃO PAULO;SP;****;15/06/2010;00:38:00;0
42013;42013;INCIDENTE;MACAÉ;RJ;****;16/06/2010;13:45:00;0
41571;41571;INCIDENTE;SÃO PAULO;SP;****;17/06/2010;22:30:00;0
41854;41854;INCIDENTE;SALVADOR;BA;SBSV;17/06/2010;09:31:00;0
41915;41915;INCIDENTE;SALVADOR;BA;****;18/06/2010;09:37:00;0
41678;41678;INCIDENTE;RIO DE JANEIRO;RJ;SBRJ;19/06/2010;19:05:00;0
41680;41680;INCIDENTE;BELO HORIZONTE;MG;****;19/06/2010;13:06:00;0
42011;42011;INCIDENTE;RIO DE JANEIRO;RJ;****;19/06/2010;13:16:00;0
41655;41655;INCIDENTE;SÃO PAULO;SP;SBMT;20/06/2010;17:40:00;0
41664;41664;INCIDENTE;BRASÍLIA;DF;SBBR;21/06/2010;17:23:00;0
41684;41684;INCIDENTE;BRASÍLIA;DF;****;21/06/2010;17:00:00;0
41840;41840;INCIDENTE;SALVADOR;BA;****;23/06/2010;15:29:00;0
41609;41609;INCIDENTE;ARACAJU;SE;SBAR;24/06/2010;03:36:00;0
41729;41729;ACIDENTE;RIO DE JANEIRO;RJ;****;25/06/2010;13:05:00;0
41852;41852;INCIDENTE;GUARULHOS;SP;SBGR;25/06/2010;21:30:00;0
41910;41910;INCIDENTE;NAVEGANTES;SC;SBNF;25/06/2010;11:45:00;0
41672;41672;INCIDENTE;RIBEIRÃO PRETO;SP;****;27/06/2010;12:30:00;0
41898;41898;INCIDENTE GRAVE;SANTO ÂNGELO;RS;****;27/06/2010;17:45:00;2
41909;41909;INCIDENTE;COARI;AM;****;27/06/2010;12:20:00;0
42009;42009;INCIDENTE;CARAUARI;AM;****;27/06/2010;17:45:00;0
41670;41670;INCIDENTE GRAVE;IPATINGA;MG;****;28/06/2010;12:45:00;0
41829;41829;ACIDENTE;JUNDIAÍ;SP;SBJD;29/06/2010;19:20:00;2
42012;42012;INCIDENTE;CAMPINAS;SP;SBKP;30/06/2010;19:37:00;0
41913;41913;INCIDENTE;SALVADOR;BA;SBSV;02/07/2010;17:25:00;0
41991;41991;INCIDENTE;GUARULHOS;SP;SBGR;02/07/2010;13:30:00;0
41749;41749;ACIDENTE;RECIFE;PE;SBRF;04/07/2010;20:20:00;1
41902;41902;INCIDENTE;BRASÍLIA;DF;****;04/07/2010;21:00:00;0
41832;41832;INCIDENTE GRAVE;RONDONÓPOLIS;MT;****;05/07/2010;22:00:00;0
41845;41845;INCIDENTE;UBERLÂNDIA;MG;SBUL;05/07/2010;10:35:00;0
42232;42232;INCIDENTE;BRASÍLIA;DF;SBBR;05/07/2010;03:00:00;0
41914;41914;INCIDENTE;MARÍLIA;SP;SBML;07/07/2010;18:07:00;0
41985;41985;INCIDENTE;ITAJAÍ;SC;****;07/07/2010;16:12:00;0
41984;41984;INCIDENTE;GOIÂNIA;GO;****;08/07/2010;15:24:00;0
42429;42429;INCIDENTE;PORTO ALEGRE;RS;SBPA;09/07/2010;13:44:00;0
41751;41751;ACIDENTE;CAMANDUCAIA;MG;****;10/07/2010;18:20:00;9
41789;41789;ACIDENTE;PAÇO DO LUMIAR;MA;****;10/07/2010;13:39:00;4
41834;41834;INCIDENTE GRAVE;PONTA GROSSA;PR;SSZW;10/07/2010;20:35:00;5
42039;42039;INCIDENTE;LINHARES;ES;****;10/07/2010;11:20:00;0
41837;41837;INCIDENTE;OLINDA;PE;****;11/07/2010;11:50:00;8
41750;41750;ACIDENTE;RIO DE JANEIRO;RJ;SBJR;12/07/2010;19:53:00;3
41844;41844;INCIDENTE;SALVADOR;BA;SBSV;12/07/2010;11:46:00;0
41904;41904;INCIDENTE;CAMPO LIMPO DE GOIÁS;GO;****;14/07/2010;20:00:00;0
41994;41994;INCIDENTE;RONDONÓPOLIS;MT;SWRD;14/07/2010;21:35:00;0
41850;41850;INCIDENTE GRAVE;PALMAS;TO;SBPJ;15/07/2010;17:00:00;1
41899;41899;INCIDENTE;LONDRINA;PR;SBLO;16/07/2010;23:28:00;0
41900;41900;ACIDENTE;NOVO HORIZONTE;SP;****;16/07/2010;19:20:00;3
41916;41916;ACIDENTE;SANTO ANTÔNIO DO LEVERGER;MT;SWLV;18/07/2010;16:00:00;0
41917;41917;ACIDENTE;BRASÍLIA;DF;SSGP;19/07/2010;18:30:00;1
41960;41960;ACIDENTE;PALMAS;TO;****;20/07/2010;15:00:00;1
42067;42067;INCIDENTE;RIO DE JANEIRO;RJ;****;20/07/2010;12:41:00;0
41973;41973;INCIDENTE;BRASÍLIA;DF;****;21/07/2010;16:15:00;0
42068;42068;INCIDENTE;SALVADOR;BA;SBSV;21/07/2010;13:25:00;0
42073;42073;INCIDENTE;SALVADOR;BA;SBSV;21/07/2010;19:16:00;0
42614;42614;INCIDENTE;NAVEGANTES;SC;SBNF;21/07/2010;16:17:00;0
42618;42618;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;SBCT;21/07/2010;16:10:00;0
41976;41976;INCIDENTE;RIO BRANCO;AC;****;23/07/2010;08:08:00;0
42001;42001;ACIDENTE;BOITUVA;SP;SDOI;24/07/2010;18:00:00;1
42071;42071;ACIDENTE;AFUÁ;PA;****;24/07/2010;10:15:00;6
42387;42387;ACIDENTE;MATINHA;MA;****;24/07/2010;17:00:00;1
43091;43091;ACIDENTE;JOINVILLE;SC;SBJV;25/07/2010;15:10:00;0
42038;42038;INCIDENTE;CARUARU;PE;****;26/07/2010;22:30:00;0
42634;42634;INCIDENTE;RIO DE JANEIRO;RJ;****;28/07/2010;10:05:00;0
42289;42289;INCIDENTE GRAVE;SÃO PAULO;SP;SBMT;29/07/2010;20:06:00;0
42436;42436;INCIDENTE;RIO DE JANEIRO;RJ;SBJR;29/07/2010;19:12:00;0
42367;42367;INCIDENTE;NORMANDIA;RR;****;30/07/2010;20:00:00;0
